start_frame	end_frame	source_frame	no_pad	note
396	397		true	
647	651		true	
1310	1312		true	
1417	1419		true	
1552	1569		true	
1609	1617		true	
2053	2063		true	
2092	2092		true	
2785	2789		true	
3205	3205	3207	true	
3206	3206	3207	true	
3788	3791		true	
3793	3798		true	
3802	3803		true	
3805	3807		true	
3809	3815		true	
3817	3817		true	
3822	3825		true	
3828	3829		true	
3834	3836		true	
3840	3841		true	
3874	3879		true	
3903	3904		true	
3906	3906		true	
3935	3935		true	
3941	3946		true	
4000	4002		true	
4053	4062		true	
4073	4073		true	
4090	4091		true	
4113	4124		true	
4126	4131		true	
4150	4150		true	
4283	4283		true	
4383	4383		true	
4593	4594		true	
4596	4596		true	
4605	4605		true	
4623	4625		true	
4633	4639		true	
4641	4642		true	
4644	4644		true	
4667	4667		true	
4669	4671		true	
4673	4674		true	
4691	4691		true	
4693	4694		true	
4696	4697		true	
4699	4700		true	
4735	4735		true	
5198	5198		true	
5208	5208		true	
5241	5243		true	
5247	5247		true	
5249	5249		true	
5263	5264		true	
5281	5281		true	
5328	5328		true	
5336	5337		true	
5354	5355		true	
5522	5522		true	
5525	5528		true	
5968	5969		true	
5989	5990		true	
6027	6033		true	
6079	6084		true	
6098	6099		true	
6101	6101		true	
6136	6138		true	
6140	6141		true	
6190	6194		true	
6195	6203		true	
6402	6407		true	
6415	6415		true	
6417	6418		true	
6421	6423		true	
6425	6427		true	
6521	6522		true	
6524	6525		true	
6532	6532		true	
6534	6535		true	
6539	6545		true	
6564	6565		true	
6567	6571		true	
6573	6573		true	
6575	6576		true	
6617	6618		true	
7353	7354		true	
7356	7357		true	
7359	7359		true	
7361	7364		true	
7369	7377		true	
7379	7380		true	
7382	7385		true	
7387	7395		true	
7401	7402		true	
7412	7417		true	
7421	7425		true	
7428	7429		true	
7431	7431		true	
7436	7437		true	
7439	7439		true	
7460	7461		true	
7463	7464		true	
7466	7466		true	
7473	7479		true	
7487	7487		true	
7489	7495		true	
7498	7498		true	
7511	7512		true	
7519	7520		true	
7547	7547		true	
7555	7555		true	
7605	7615		true	
7620	7620		true	
7622	7625		true	
7630	7633		true	
7848	7851		true	
7882	7882		true	
7884	7886		true	
7893	7896		true	
7901	7902		true	
7906	7909		true	
7912	7914		true	
7919	7919		true	
7924	7925		true	
7945	7949		true	
7956	7957		true	
7958	7959		true	
7960	7960		true	
7984	7985		true	
8175	8185		true	
8194	8194		true	
9005	9014		true	
9017	9017		true	
13461	13463		true	
13464	13465		true	
14730	14730		true	
14733	14734		true	
16291	16292		true	
16294	16299		true	
17315	17320		true	
17379	17379		true	
17946	17946		true	
17948	17956		true	
17973	17973		true	
17975	17978		true	
17986	17997		true	
17999	18007		true	
18009	18010		true	
18012	18015		true	
18017	18024		true	
39695	39697		true	
