start_frame	end_frame	note
86	86	tape_clip_value
91	91	tape_clip_value
1532	1533	tape_clip_value
1549	1549	tape_clip_value
1552	1552	tape_clip_value
1554	1555	tape_clip_value
1557	1559	tape_clip_value
1562	1563	tape_clip_value
1565	1566	tape_clip_value
1609	1609	tape_clip_value
1613	1614	tape_clip_value
2053	2053	tape_clip_value
2059	2060	tape_clip_value
2742	2742	tape_clip_value
2752	2756	tape_clip_value
2760	2762	tape_clip_value
3202	3202	tape_clip_value
3785	3786	tape_clip_value
3790	3790	tape_clip_value
3799	3801	tape_clip_value
3803	3804	tape_clip_value
3807	3807	tape_clip_value
3811	3811	tape_clip_value
3814	3814	tape_clip_value
3822	3822	tape_clip_value
3825	3826	tape_clip_value
3872	3872	tape_clip_value
3875	3875	tape_clip_value
3894	3894	tape_clip_value
3903	3903	tape_clip_value
3939	3940	tape_clip_value
3943	3943	tape_clip_value
3998	3998	tape_clip_value
4052	4052	tape_clip_value
4055	4055	tape_clip_value
4058	4059	tape_clip_value
4115	4115	tape_clip_value
4117	4117	tape_clip_value
4592	4592	tape_clip_value
4601	4602	tape_clip_value
4605	4605	tape_clip_value
4613	4613	tape_clip_value
4620	4620	tape_clip_value
4633	4634	tape_clip_value
4638	4638	tape_clip_value
4640	4640	tape_clip_value
4687	4687	tape_clip_value
4692	4693	tape_clip_value
4695	4695	tape_clip_value
6025	6025	tape_clip_value
6028	6028	tape_clip_value
6076	6077	tape_clip_value
6095	6095	tape_clip_value
6186	6187	tape_clip_value
6190	6193	tape_clip_value
6197	6198	tape_clip_value
6342	6342	tape_clip_value
6360	6360	tape_clip_value
6379	6379	tape_clip_value
6399	6400	tape_clip_value
6412	6412	tape_clip_value
6419	6419	tape_clip_value
6515	6515	tape_clip_value
6529	6529	tape_clip_value
6535	6535	tape_clip_value
6558	6559	tape_clip_value
6561	6563	tape_clip_value
6567	6567	tape_clip_value
6569	6569	tape_clip_value
6612	6612	tape_clip_value
6674	6674	tape_clip_value
7350	7350	tape_clip_value
7353	7353	tape_clip_value
7355	7356	tape_clip_value
7358	7358	tape_clip_value
7364	7364	tape_clip_value
7368	7368	tape_clip_value
7370	7371	tape_clip_value
7376	7378	tape_clip_value
7382	7382	tape_clip_value
7384	7384	tape_clip_value
7386	7386	tape_clip_value
7389	7389	tape_clip_value
7396	7396	tape_clip_value
7407	7407	tape_clip_value
7415	7415	tape_clip_value
7418	7418	tape_clip_value
7422	7422	tape_clip_value
7425	7425	tape_clip_value
7431	7431	tape_clip_value
7433	7433	tape_clip_value
7454	7454	tape_clip_value
7461	7461	tape_clip_value
7464	7464	tape_clip_value
7468	7468	tape_clip_value
7470	7471	tape_clip_value
7481	7481	tape_clip_value
7484	7486	tape_clip_value
7492	7492	tape_clip_value
7541	7541	tape_clip_value
7601	7602	tape_clip_value
7608	7608	tape_clip_value
7614	7614	tape_clip_value
7617	7618	tape_clip_value
7842	7843	tape_clip_value
7875	7875	tape_clip_value
7877	7879	tape_clip_value
7886	7886	tape_clip_value
7894	7894	tape_clip_value
7900	7900	tape_clip_value
7912	7912	tape_clip_value
7939	7939	tape_clip_value
7941	7942	tape_clip_value
