frame	score	bad_frame	manual_override
35743	-0.60897465	0	0
35744	-0.70972603	0	0
35745	-0.67178714	0	0
35746	-0.74968464	0	0
35747	-0.68701752	0	0
35748	-0.66341128	0	0
35749	-0.65346360	0	0
35750	-0.71404780	0	0
35751	-0.67567947	0	0
35752	-0.67800091	0	0
35753	-0.67996839	0	0
35754	-0.68429751	0	0
35755	-0.69759190	0	0
35756	-0.72996905	0	0
35757	-0.71002873	0	0
35758	-0.72409575	0	0
35759	-0.69343714	0	0
35760	-0.73822998	0	0
35761	-0.71597192	0	0
35762	-0.72542332	0	0
35763	-0.71919400	0	0
35764	-0.77323677	0	0
35765	-0.66192236	0	0
35766	-0.75264275	0	0
35767	-0.57294485	0	0
35768	-0.51220473	0	0
35769	-0.37608108	0	0
35770	-0.15804243	0	0
35771	0.24954210	0	0
35772	0.74955902	0	0
35773	0.50256186	0	0
35774	1.35625609	1	1
35775	2.61015436	1	0
35776	-0.28480200	1	1
35777	-0.68738917	1	1
35778	-0.41558610	0	0
35779	-0.19971943	0	0
35780	-0.37020799	0	0
35781	0.59647621	0	0
35782	0.27554201	0	0
35783	-0.42405506	0	0
35784	-0.45287115	0	0
35785	-0.37297785	0	0
35786	-0.32389409	0	0
35787	-0.12440141	0	0
35788	-0.09014312	0	0
35789	-0.07778920	0	0
35790	-0.17145838	0	0
35791	-0.03281364	0	0
35792	-0.06800035	0	0
35793	0.01706416	0	0
35794	0.14772862	0	0
35795	0.21788875	0	0
35796	0.19354252	0	0
35797	0.18717106	0	0
35798	0.27094544	0	0
35799	0.46215241	0	0
35800	0.25813150	0	0
35801	0.29513355	0	0
35802	0.30431382	0	0
35803	0.34165652	0	0
35804	0.23214306	0	0
35805	0.31415946	0	0
35806	0.30424450	0	0
35807	0.30529602	0	0
35808	0.54477837	0	0
35809	0.67696995	0	0
35810	0.38112469	0	0
35811	0.33150504	0	0
35812	0.28122607	0	0
35813	0.34746879	0	0
35814	0.38503764	0	0
35815	0.26464109	0	0
35816	0.11471506	0	0
35817	0.21672276	0	0
35818	0.05037359	0	0
35819	0.03012546	0	0
35820	-0.05219927	0	0
35821	0.08057256	0	0
35822	-0.02428907	0	0
35823	-0.06867832	0	0
35824	-0.07392408	0	0
35825	-0.11049575	0	0
35826	-0.21016775	0	0
35827	-0.15777645	0	0
35828	-0.18310481	0	0
35829	0.01541432	0	0
35830	-0.03135064	0	0
35831	-0.08723671	0	0
35832	0.02480394	0	0
35833	-0.02187315	0	0
35834	-0.15242485	0	0
35835	-0.17359720	0	0
35836	-0.21122809	0	0
35837	-0.14288895	0	0
35838	-0.13729442	0	0
35839	0.04673989	0	0
35840	-0.03246682	0	0
35841	-0.06769511	0	0
35842	-0.17452037	0	0
35843	-0.14362886	0	0
35844	-0.29317793	0	0
35845	-0.21980931	0	0
35846	-0.29788326	0	0
35847	-0.21929947	0	0
35848	-0.29703560	0	0
35849	-0.29501185	0	0
35850	-0.23366815	0	0
35851	-0.05679187	0	0
35852	-0.09688088	0	0
35853	-0.00609764	0	0
35854	0.23351034	0	0
35855	0.20553541	0	0
35856	-0.02401073	0	0
35857	-0.09332561	0	0
35858	-0.07803978	0	0
35859	0.09786484	0	0
35860	0.19146546	0	0
35861	0.34387651	0	0
35862	0.33641671	0	0
35863	0.08361527	0	0
35864	0.40246746	0	0
35865	0.40117749	0	0
35866	0.06480445	0	0
35867	-0.08614061	0	0
35868	-0.17023172	0	0
35869	-0.23117913	0	0
35870	-0.48936602	0	0
35871	-0.66331538	0	0
35872	-0.54708432	0	0
35873	-0.62784310	0	0
35874	-0.92102482	0	0
35875	-0.90693378	0	0
35876	-1.14804433	0	0
35877	-0.87515699	0	0
35878	-0.96321922	0	0
35879	-1.26889029	0	0
35880	-1.14633280	0	0
35881	-0.94009651	0	0
35882	-0.82176070	0	0
35883	-0.32268850	0	0
35884	0.36725557	0	0
35885	0.32858765	0	0
35886	-0.30132732	0	0
35887	-0.71959150	0	0
35888	-0.84930693	0	0
35889	-0.91389503	0	0
35890	0.19573559	0	0
35891	1.54084646	1	1
