start_frame	end_frame	note
28901	28901	tracking_loss_otsu
29056	29056	tracking_loss_otsu
29495	29495	tracking_loss_otsu
29801	29801	tracking_loss_otsu
31886	31886	tracking_loss_otsu
40405	40405	tracking_loss_otsu
40664	40664	tracking_loss_otsu
41546	41546	tracking_loss_otsu
43422	43422	tracking_loss_otsu
43952	43952	tracking_loss_otsu
44202	44202	tracking_loss_otsu
47151	47151	tracking_loss_otsu
47961	47961	tracking_loss_otsu
48362	48362	tracking_loss_otsu
49591	49591	tracking_loss_otsu
50641	50641	tracking_loss_otsu
51082	51082	tracking_loss_otsu
52517	52517	tracking_loss_otsu
54016	54016	tracking_loss_otsu
54237	54237	tracking_loss_otsu
54433	54433	tracking_loss_otsu
55911	55911	tracking_loss_otsu
56638	56638	tracking_loss_otsu
57600	57600	tracking_loss_otsu
57636	57636	tracking_loss_otsu
57814	57814	tracking_loss_otsu
57844	57844	tracking_loss_otsu
57856	57856	tracking_loss_otsu
58420	58420	tracking_loss_otsu
59829	59829	tracking_loss_otsu
60698	60699	tracking_loss_otsu
60911	60911	tracking_loss_otsu
60925	60925	tracking_loss_otsu
60944	60944	tracking_loss_otsu
61060	61060	tracking_loss_otsu
61809	61809	tracking_loss_otsu
62264	62264	tracking_loss_otsu
62497	62497	tracking_loss_otsu
62673	62673	tracking_loss_otsu
63335	63335	tracking_loss_otsu
