frame	score	edge_energy	row_instability	field_mismatch	label
0	-2.09832060	11.70543385	1.07503474	1.59348381	good
1	-2.09832060	11.70543385	1.07503474	1.59348381	good
2	-2.09832060	11.70543385	1.07503474	1.59348381	good
3	-2.09832060	11.70543385	1.07503474	1.59348381	good
4	-2.09832060	11.70543385	1.07503474	1.59348381	good
5	-2.09832060	11.70543385	1.07503474	1.59348381	good
6	-2.09832060	11.70543385	1.07503474	1.59348381	good
7	-2.09832060	11.70543385	1.07503474	1.59348381	good
8	-2.09832060	11.70543385	1.07503474	1.59348381	good
9	-2.09832060	11.70543385	1.07503474	1.59348381	good
10	-2.09832060	11.70543385	1.07503474	1.59348381	good
11	-2.09832060	11.70543385	1.07503474	1.59348381	good
12	-2.09832060	11.70543385	1.07503474	1.59348381	good
13	-2.09832060	11.70543385	1.07503474	1.59348381	good
14	-2.09832060	11.70543385	1.07503474	1.59348381	good
15	-2.09832060	11.70543385	1.07503474	1.59348381	good
16	-2.09832060	11.70543385	1.07503474	1.59348381	good
17	-2.09832060	11.70543385	1.07503474	1.59348381	good
18	-2.09832060	11.70543385	1.07503474	1.59348381	good
19	-2.09832060	11.70543385	1.07503474	1.59348381	good
20	-2.09832060	11.70543385	1.07503474	1.59348381	good
21	-2.09832060	11.70543385	1.07503474	1.59348381	good
22	-2.09832060	11.70543385	1.07503474	1.59348381	good
23	-2.09832060	11.70543385	1.07503474	1.59348381	good
24	-2.09832060	11.70543385	1.07503474	1.59348381	good
25	-2.09832060	11.70543385	1.07503474	1.59348381	good
26	-2.09832060	11.70543385	1.07503474	1.59348381	good
27	-2.09832060	11.70543385	1.07503474	1.59348381	good
28	-2.09832060	11.70543385	1.07503474	1.59348381	good
29	-2.09832060	11.70543385	1.07503474	1.59348381	good
30	-2.09832060	11.70543385	1.07503474	1.59348381	good
31	-2.09832060	11.70543385	1.07503474	1.59348381	good
32	-2.09832060	11.70543385	1.07503474	1.59348381	good
33	-2.09832060	11.70543385	1.07503474	1.59348381	good
34	-2.09832060	11.70543385	1.07503474	1.59348381	good
35	-2.09832060	11.70543385	1.07503474	1.59348381	good
36	-2.09832060	11.70543385	1.07503474	1.59348381	good
37	-2.09832060	11.70543385	1.07503474	1.59348381	good
38	-2.09832060	11.70543385	1.07503474	1.59348381	good
39	-2.09832060	11.70543385	1.07503474	1.59348381	good
40	-2.09832060	11.70543385	1.07503474	1.59348381	good
41	-2.09832060	11.70543385	1.07503474	1.59348381	good
42	-2.09832060	11.70543385	1.07503474	1.59348381	good
43	-2.09832060	11.70543385	1.07503474	1.59348381	good
44	-2.09832060	11.70543385	1.07503474	1.59348381	good
45	-2.09832060	11.70543385	1.07503474	1.59348381	good
46	-2.09832060	11.70543385	1.07503474	1.59348381	good
47	-2.09832060	11.70543385	1.07503474	1.59348381	good
